The dorsal-open group gene raw is required for restricted DJNK signaling during closure,10518507,,"During dorsal closure in Drosophila melanogaster, cells of the lateral epidermis migrate over the amnioserosa to encase the embryo. At least three classes of dorsal-open group gene products are necessary for this morphogenetic movement. Class I genes code for structural proteins that effect changes in epidermal cell shape and motility. Class II and III genes code for regulatory components of closure: Class II genes encode Drosophila Jun amino (N)-terminal kinase (DJNK) signaling molecules and Class III genes encode Decapentaplegic-mediated signaling molecules. All characterized dorsal-open group gene products function in the epidermis. Here we report a molecular and genetic characterization of raw, a newly defined member of the Class II dorsal-open group genes. We show that the novel protein encoded by raw is required for restriction of DJNK signaling to leading edge epidermal cells as well as for proper development of the amnioserosa. Taken together, our results demonstrate a role for Raw in restriction of epidermal signaling during closure and suggest that this effect may be mediated via the amnioserosa.",1999,"C L Byars, K L Bates, A Letsou, C L Byars, K L Bates, A Letsou"
Drosophila replication and repair proteins: proliferating cell nuclear antigen (PCNA),10455000,10.1006/meth.1999.0798,"Proliferating cell nuclear antigen (PCNA), a protein intimately involved in both replication and repair, has been identified in eukaryotes at all levels of evolution. Is primary sequence, Drosophila melanogaster PCNA is 73% identical to mammalian PCNA. Moreover, it is able to substitute for mammalian PCNA in at least one intricate cell-free replication assay. Mutations in the gene for Drosophila PCNA, including some that are temperature sensitive, have been reported. Procedures are described for the biochemical purification of wild-type PCNA from a population of 6- to 18-h-old Drosophila embryos. Procedures were also developed for purification of unmodified wild-type Drosophila PCNA after induction of expression in Escherichia coli. An NH(2)-terminally His-tagged but otherwise wild-type Drosophila PCNA, as well as mutant His-tagged PCNA, were also engineered and purified to apparent homogeneity. Finally, an in situ polyacrylamide gel technique allows DNA polymerase assays to be performed on portions of single adults as well as single Drosophila embryos. This assay should tremendously facilitate systematic genetic studies of metazoan replication and repair.",1999,"D J Mozzherin, M McConnell, P A Fisher, D J Mozzherin, M McConnell, P A Fisher"
Ectopic overexpression of Drosophila lamin C is stage-specific lethal,10222127,10.1006/excr.1999.4396,"To gain insight into the function of the developmentally regulated A-type lamins we transformed Drosophila melanogaster with a construct containing the hsp70 promoter followed by the Drosophila lamin C (an analog of vertebrate A-type lamins) cDNA. Lamin C was expressed ectopically after heat shock of embryos and localized to the nucleus. No phenotypic change was observed after lamin C expression in embryos that normally do not contain lamin C. However, ectopic expression of lamin C during most larval (but not pupal) stages stalled growth, inhibited ecdysteroid signaling (in particular during the larval-prepupal transition), resulted in development of melanotic tumors, and finally caused death. During pupation in control animals, when massive apoptosis of larval tissues takes place, lamin C is proteolyzed into a fragment with a size similar to that predicted by caspase cleavage. The ectopically expressed lamin C is identically cleaved, resulting in a large increase of the steady-state level of the lamin C fragment. A null mutation of the dcp-1 gene, one of the two known Drosophila caspase genes, also results in development of melanotic tumors and larval death, suggesting that the ectopically expressed lamin C inhibits apoptosis through competitive inhibition of caspase activity.",1999,"N Stuurman, J P Delbecque, P Callaerts, U Aebi, N Stuurman, J P Delbecque, P Callaerts, U Aebi"
Unusual haplotype structure at the proximal breakpoint of In(2L)t in a natural population of Drosophila melanogaster,10545460,,"The existence of temporally stable frequency clines for In(2L)t in natural populations of Drosophila melanogaster suggests a role for selection in the maintenance of this polymorphism. We have collected nucleotide polymorphism data from the proximal breakpoint junction regions of In(2L)t to infer its evolutionary history. The finding of a novel LINE-like element near the In(2L)t breakpoint junction in sampled inverted chromosomes supports a transposable element-mediated origin for this inversion. An analysis of nucleotide variation in a Costa Rican population sample of standard and inverted chromosomes indicates a unique and relatively recent origin for In(2L)t. Additional In(2L)t alleles from three geographically diverse populations reveal no detectable geographic differentiation. Low levels of In(2L)t nucleotide polymorphism suggest a recent increase in the inversion's frequency in tropical populations. An unusual feature of our sample of standard alleles is a marked heterogeneity in levels of linkage disequilibrium among polymorphic sites across the breakpoint region. We introduce a test of neutral equilibrium haplotype structure that corrects both for multiple tests and for an arbitrarily chosen window size. It reveals that an approximately 1.4-kb region immediately spanning the breakpoint has fewer haplotypes than expected under the neutral model, given the expected level of recombination in this genomic region. Certain features of our data suggest that the unusual pattern in standard chromosomes is the product of selection rather than demography.",1999,"P Andolfatto, J D Wall, M Kreitman, P Andolfatto, J D Wall, M Kreitman"
Preventing neurodegeneration in the Drosophila mutant bubblegum,10373116,10.1126/science.284.5422.1985,"The Drosophila melanogaster recessive mutant bubblegum (bgm) exhibits adult neurodegeneration, with marked dilation of photoreceptor axons. The bubblegum mutant shows elevated levels of very long chain fatty acids (VLCFAs), as seen in the human disease adrenoleukodystrophy (ALD). In ALD, the excess can be lowered by dietary treatment with ""Lorenzo's oil,"" a mixture of unsaturated fatty acids. Feeding the fly mutant one of the components, glyceryl trioleate oil, blocked the accumulation of excess VLCFAs as well as development of the pathology. Mutant flies thus provide a potential model system for studying mechanisms of neurodegenerative disease and screening drugs for treatment.",1999,"K T Min, S Benzer, K T Min, S Benzer"
[Gene instability induced by mobile genetic elements in Drosophila melanogaster],10330697,,"The genetic instability of Drosophila melanogaster genes induced by the mobile genetic elements is reviewed. The main attention is paid to genetic instability depended on types of crossing. Data on the possibility of genetic instability induction by the chemical and physical (X-rays, heat-shock) agents and their complex effect are cited. It was shown that a number of agents which cause mutagenic effect realize their action by involving of mobile genetic elements.",1999,"H R Shcherbata, D V Maksymiv, Ia I Chernyk, H R Shcherbata, D V Maksymiv, Ia I Chernyk"
"THE ASSOCIATION BETWEEN FLUCTUATING ASYMMETRY, TRAIT VARIABILITY, TRAIT HERITABILITY, AND STRESS: A MULTIPLY REPLICATED EXPERIMENT ON COMBINED STRESSES IN DROSOPHILA MELANOGASTER",28565415,10.1111/j.1558-5646.1999.tb03784.x,"A number of hypotheses have been proposed about the association between developmental stability phenotypic variability, heritability, and environmental stress. Stress is often considered to increase both the asymmetry and phenotypic variability of bilateral traits, although this may depend on trait heritability. Empirical studies of such associations often yield inconsistent results. This may reflect the diversity of traits and conditions used or a low repeatability of any associations. To test for repeatable associations between these variables, multiply replicated experiments were undertaken on Drosophila melanogaster using a combination stress at the egg, larval and adult stages of reduced protein, ethanol in the medium, and a cold shock. Both metric and meristic traits were measured and levels of heritable variation for each trait estimated by maximum likelihood and parent-offspring regression over three generations. Trait means were reduced by stress, whereas among-individual variation increased Fluctuating asymmetry (FA) was increased by stress in some cases, but few comparisons were significant. Only one trait orbital bristle, showed consistent increases in FA. Changes in trait means, trait phenotypic variability, and developmental stability as a result of stress were not correlated. Extreme phenotypes tended to have higher levels of FA but only the results for orbital bristles were significant. All traits had low to intermediate heritabilities except orbital bristle, which showed no heritable variation. Only traits with low heritability and high levels of phenotypic variability may show consistent increases in FA under stress. Overall, the independence of phenotypic variability, plasticity, and the developmental stability of traits extend to changes in these measures under stressful conditions.",1999,"Richard E Woods, Carla M SgrÃ², Miriam J Hercus, Ary A Hoffmann, Richard E Woods, Carla M SgrÃ², Miriam J Hercus, Ary A Hoffmann"
Nucleotide variation at the runt locus in Drosophila melanogaster and Drosophila simulans,10368951,10.1093/oxfordjournals.molbev.a026157,"Intra- and interspecific nucleotide variation for the major developmental gene runt in Drosophila was studied in D. melanogaster and D. simulans. The 1.5-kb protein-coding region and the 0.4-kb intron of the runt gene were sequenced for 11 alleles in each species. The D. melanogaster alleles originated from east Africa. Estimated parameters of intraspecific variation in D. melanogaster (exons: theta = 0.018, pi = 0.018; intron: theta = 0.014, pi = 0.014) and D. simulans (exons: theta = 0.007, pi = 0.005; intron: theta = 0.008, pi = 0.005) were below average for other X-linked genes, while divergence between species (exons: D = 0.094; intron: D = 0.069) fell within the normal range for both silent and replacement changes. This estimate for runt, along with published values for three other genes in regions of normal recombination, show east African D. melanogaster to be roughly twice as polymorphic as D. simulans. The majority of nucleotide variation, silent and replacement, in both species was found to be selectively neutral using various statistical tests (HKA, McDonald-Kreitman, Tajima, and Fu and Li tests). Monte Carlo simulations of the coalescent process significantly rejected a Wright-Fisher model with respect to an amino acid polymorphism and the distribution of polymorphic sites among the D. simulans lines. This indicated an old lineage and may reflect ancestral population substructuring in D. simulans.",1999,"J A Labate, C H Biermann, W F Eanes"
Centromeres from telomeres? The centromeric region of the Y chromosome of Drosophila melanogaster contains a tandem array of telomeric HeT-A- and TART-related sequences,10454639,10.1093/nar/27.16.3318,Cytological and cytogenetic studies have previously defined the region needed for centromeric function in the Y chromosome of Drosophila melanogaster. We have identified a YAC clone that originated from this region. Molecular analysis of the YAC and genomic DNAs has allowed the description of a satellite DNA made of telomeric HeT-A- and TART-derived sequences and the construction of a long-range physical map of the heterochromatic region h18. Sequences within the YAC clone are conserved in the centromeric region of the sibling species Drosophila simulans. That telomere-derived DNA now forms part of the centromeric region of the Y chromosome could indicate a telomeric origin of this centromere. The existence of common determinants for the function of both centromeres and telomeres is discussed.,1999,"M Agudo, A Losada, J P Abad, S Pimpinelli, P Ripoll, A Villasante, M Agudo, A Losada, J P Abad, S Pimpinelli, P Ripoll, A Villasante"
Prolonged negative selection of Drosophila melanogaster for a character of adaptive significance disturbs stress reactivity,10380656,10.1016/s0965-1748(99)00021-1,"The metabolism of juvenile hormone by JH-esterase and JH-epoxide hydrolase, and octopamine by tyrosine decarboxylase were studied under normal and stress conditions in flies of two related lines of D. melanogaster. One was selected for high (HA line) and another for low (LA line) male sexual activity for more than 700 generations. It was demonstrated that prolonged selection for low male sexual activity results in considerable changes in both systems. Tyrosine decarboxylase activity in males and females of the LA line was sharply reduced as compared with those of the HA and control Canton-S lines; JH-esterase and JH-epoxide hydrolase activities were decreased in females, and not in males, of the LA line. It was demonstrated that the response of both metabolic systems to heat stress is impaired in individuals of the LA line: the system of juvenile hormone metabolism does not respond to stress, and that of octopamine metabolism is decelerated. The role of juvenile hormone metabolism in male reproductive function is discussed.",1999,"N E Gruntenko, T M Khlebodarova, Sukhanova MJh, I A Vasenkova, L Z Kaidanov, Rauschenbach IYu, N E Gruntenko, T M Khlebodarova, Sukhanova MJh, I A Vasenkova, L Z Kaidanov, Rauschenbach IYu"
Extensive zygotic control of the anteroposterior axis in the wasp Nasonia vitripennis,9895318,,"Insect axis formation is best understood in Drosophila melanogaster, where rapid anteroposterior patterning of zygotic determinants is directed by maternal gene products. The earliest zygotic control is by gap genes, which determine regions of several contiguous segments and are largely conserved in insects. We have asked genetically whether early zygotic patterning genes control similar anteroposterior domains in the parasitoid wasp Nasonia vitripennis as in Drosophila. Nasonia is advantageous for identifying and studying recessive zygotic lethal mutations because unfertilized eggs develop as males while fertilized eggs develop as females. Here we describe recessive zygotic mutations identifying three Nasonia genes: head only mutant embryos have posterior defects, resembling loss of both maternal and zygotic Drosophila caudal function; headless mutant embryos have anterior and posterior gap defects, resembling loss of both maternal and zygotic Drosophila hunchback function; squiggy mutant embryos develop only four full trunk segments, a phenotype more severe than those caused by lack of Drosophila maternal or zygotic terminal gene functions. These results indicate greater dependence on the zygotic genome to control early patterning in Nasonia than in the fly.",1999,"M A Pultz, J N Pitt, N M Alto, M A Pultz, J N Pitt, N M Alto"
