Measuring Drosophila (fruit fly) activity during microgravity exposure,11543046,,"Important advances in the understanding of the aging process could be obtained through comprehension of the changes experienced by Drosophila melanogaster (fruit flies) during microgravity. Previous experiments flown on Cosmos satellites and various Space Shuttle missions have shown a significant decrease in the life span of young male Drosophila after microgravity exposure. Additionally, postflight analysis indicated an accelerated aging of the microgravity exposed male flies since they exhibited a significant decrease in mating ability and a consistently lower negative geotaxis response than the 1 g ground controls. The negative geotaxis response is the Drosophila's reaction to move opposite to the Earth's gravitational vector when disturbed in certain manners. Researchers have hypothesized that the accelerated aging, is due to an increased locomotor activity which causes a subsequent increase in mitochondrial activity. The increased mitochondrial activity, in turn, causes increased aging through accelerated damage to the mitochondrial system. An increase in locomotor activity was indicated by analyzing only a fraction (1/6th of a second) of the 15 minute video recordings of groups of Drosophila taken approximately every two days during a 14-day Space Shuttle flight. The increased locomotor activity may be related to the Drosophila's negative geotaxis response in that the flies may be reacting to the absence of normal gravity by continuously searching for the gravity vector. The aims of this study are to develop methods to accurately measure individual Drosophila activity, use these derived methods in 1 g to create a Drosophila activity baseline, and use the methods during short and long duration microgravity exposure (sounding rockets, parabolic flights, Space Shuttle, International Space Station, etc.) to examine Drosophila activity. The role of the negative geotaxis response on locomotor activity will be examined by using two strains of behaviorally selected Drosophila, one that exhibits a large or hyper negative geotaxis response and another that has a positive geotaxis response, in addition to examining flies with a normal or negative geotaxis response.",1999,"M S Miller, T S Keller, M S Miller, M S Miller, T S Keller, M S Miller"
DNA sequence variation and the recombinational landscape in Drosophila pseudoobscura: a study of the second chromosome,10511563,,"The relationship between rates of recombination and DNA sequence polymorphism was analyzed for the second chromosome of Drosophila pseudoobscura. We constructed integrated genetic and physical maps of this chromosome using molecular markers at 10 loci spanning most of its physical length. The total length of the map was 128.2 cM, almost twice that of the homologous chromosome arm (3R) in D. melanogaster. There appears to be very little centromeric suppression of recombination, and rates of recombination are quite uniform across most of the chromosome. Levels of sequence variation (theta(W), based on the number of segregating sites) at seven loci (tropomyosin 1, Rhodopsin 3, Rhodopsin 1, bicoid, Xanthine dehydrogenase, Myosin light chain 1, and ribosomal protein 49) varied from 0.0036 to 0.0167. Generally consistent with earlier studies, the average estimate of theta(W) at total sites is 1.5-fold higher than that in D. melanogaster, while average theta(W) at silent sites is almost 3-fold higher. These estimates of variation were analyzed in the context of a background selection model under the same parameters of mutation rate and selection as have been proposed for D. melanogaster. It is likely that a significant fraction of the higher level of sequence variation in D. pseudoobscura can be explained by differences in regional rates of recombination rather than a larger species-level effective population size. However, the distribution of variation among synonymous, nonsynonymous, and noncoding sites appears to be quite different between the species, making direct comparisons of neutral variation, and hence inferences about effective population size, difficult. Tajima's D statistics for 6 out of the 7 loci surveyed are negative, suggesting that D. pseudoobscura may have experienced a rapid population expansion in the recent past or, alternatively, that slightly deleterious mutations constitute an important component of standing variation in this species.",1999,"M T Hamblin, C F Aquadro, M T Hamblin, C F Aquadro"
[Maternal and paternal effects on the specific mutation l(1)ts403 of thermosensitivity of early Drosophila melanogaster embryos],10546112,,"High thermosensitivity of early embryos controlled by mutation l(1)ts403 with disturbed heat-shock response was studied. Thermosensitivity was examined in early (0-1 h) and late (3.5-4.5 h) embryos obtained by reciprocal crosses and backcrosses. It was shown that mutation l(1)ts403 lacks maternal effect. In progeny of reciprocal crosses, early embryonic thermosensitivity was intermediate with regard to that of progeny obtained by interlinear crosses. In early embryos of Drosophila, zygotic genes are not expressed and synthesis heat-shock protein synthesis is not induced. Based on this, it was proposed that the product of gene l(1)ts403, which affects early embryonic thermosensitivity, is transmitted both paternally and maternally and shows dosage effect.",1999,"L A Mamon, E A Nikitina, O M Pugacheva, E V Golubkova, L A Mamon, E A Nikitina, O M Pugacheva, E V Golubkova"
RBE-LET relationships in mutagenesis by ionizing radiation,10804998,10.1269/jrr.40.s85,"The paper considers the relationship between the quality of radiation and biological lesions produced by ionizing radiation. The paper provides a brief review of the modelling of induction of strand breakage, chromosome aberration, revertant mutation in bacteria and Drosophila melanogaster. Experimental data are presented for the relative biological effectiveness of helium ions and alpha-particles for mutation induction and genome lethality in Escherichia coli. The paper examines the relationship between the mutational events and LET. The RBE-LET values for T4 phage, E. coli WP2 and mwh (multiple wing hair) show dependency on LET while the wi (white-ivory) allele mutants show no dependency.",1999,"H Nikjoo, R J Munson, B A Bridges, H Nikjoo, R J Munson, B A Bridges"
"Molecular evolution of two linked genes, Est-6 and Sod, in Drosophila melanogaster",10545464,,"We have obtained 15 sequences of Est-6 from a natural population of Drosophila melanogaster to test whether linkage disequilibrium exists between Est-6 and the closely linked Sod, and whether natural selection may be involved. An early experiment with allozymes had shown linkage disequilibrium between these two loci, while none was detected between other gene pairs. The Sod sequences for the same 15 haplotypes were obtained previously. The two genes exhibit similar levels of nucleotide polymorphism, but the patterns are different. In Est-6, there are nine amino acid replacement polymorphisms, one of which accounts for the S-F allozyme polymorphism. In Sod, there is only one replacement polymorphism, which corresponds to the S-F allozyme polymorphism. The transversion/transition ratio is more than five times larger in Sod than in Est-6. At the nucleotide level, the S and F alleles of Est-6 make up two allele families that are quite different from each other, while there is relatively little variation within each of them. There are also two families of alleles in Sod, one consisting of a subset of F alleles, and the other consisting of another subset of F alleles, designed F(A), plus all the S alleles. The Sod F(A) and S alleles are completely or nearly identical in nucleotide sequence, except for the replacement mutation that accounts for the allozyme difference. The two allele families have independent evolutionary histories in the two genes. There are traces of statistically significant linkage disequilibrium between the two genes that, we suggest, may have arisen as a consequence of selection favoring one particular sequence at each locus.",1999,"E S Balakirev, E I Balakirev, F RodrÃ­guez-Trelles, F J Ayala, E S Balakirev, E I Balakirev, F RodrÃ­guez-Trelles, F J Ayala"
Oviposition-site preference in Drosophila following interspecific gene transfer of the Alcohol dehydrogenase locus,10547927,10.1023/a:1021648103496,"The preference of Drosophila females to lay eggs on substrates that do or do not contain alcohol is an excellent system to study the evolutionary genetics of behavior, because (1) there is variation in this behavior within and among species, (2) the behavior is amenable to laboratory investigation, and (3) the behavior presumably has a direct relationship to reproductive fitness. Moreover, a key genetic component of the system, the Alcohol dehydrogenase (Adh) locus, is arguably the most well characterized gene known. However, because the Adh gene and its genetic background are inseparable in reproductively isolated species, it is difficult to establish its role in behavioral divergence. By transgene coplacement, we created pairs of strains of D. melanogaster expressing an Adh allele from either D. melanogaster or D. affinidisjuncta, a Hawaiian species with very low levels of ADH in adults. When raised on ethanol-containing medium, the affinidisjuncta-Adh strains experience high mortality relative to the melanogaster-Adh strains. However, affinidisjuncta-Adh females show the same preference for oviposition on ethanol-containing medium as melanogaster-Adh females. Thus, preference for ethanol in these strains is not determined primarily by Adh genotype.",1999,"M L Siegal, D L Hartl, M L Siegal, D L Hartl"
Drosophila telomeres: two transposable elements with important roles in chromosomes,10952212,,"Telomeres in Drosophila melanogaster are composed of multiple copies of two retrotransposable elements, HeT-A and TART instead of the short DNA repeats generated by telomerase in most organisms. Transpositions of HeT-A and TART yield arrays of repeats larger and more irregular than the repeats produced by telomerase; nevertheless, these transpositions are, in principle, equivalent to the telomere-building action of telomerase. Both telomerase and transposition of HeT-A and TART extend chromosomes by RNA-templated addition of specific sequences. We have proposed that HeT-A has evolved from genes encoding telomerase components. Although both HeT-A and TART share some novel features, TART probably has a different origin from HeT-A. HeT-A and TART are clearly identifiable as non-long terminal repeat (non-LTR) retrotransposons. Both telomere elements transpose only to the ends of chromosomes (apparently to any chromosome end in D. melanogaster) and each contains a large segment of untranslated sequence. HeT-A and TART are the first examples of transposable elements with a clear role in chromosome structure. This has interesting implications for the evolution of both chromosomes and transposable elements. The finding also raises the possibility that other transposable elements with bona fide roles in the cell will be detected, not only in Drosophila, but also in other organisms.",1999,"M L Pardue, P G DeBaryshe, M L Pardue, P G DeBaryshe"
"Evolution of the RECQ family of helicases: A drosophila homolog, Dmblm, is similar to the human bloom syndrome gene",10049920,,"Several eukaryotic homologs of the Escherichia coli RecQ DNA helicase have been found. These include the human BLM gene, whose mutation results in Bloom syndrome, and the human WRN gene, whose mutation leads to Werner syndrome resembling premature aging. We cloned a Drosophila melanogaster homolog of the RECQ helicase family, Dmblm (Drosophila melanogaster Bloom), which encodes a putative 1487-amino-acid protein. Phylogenetic and dot plot analyses for the RECQ family, including 10 eukaryotic and 3 prokaryotic genes, indicate Dmblm is most closely related to the Homo sapiens BLM gene, suggesting functional similarity. Also, we found that Dmblm cDNA partially rescued the sensitivity to methyl methanesulfonate of Saccharomyces cerevisiae sgs1 mutant, demonstrating the presence of a functional similarity between Dmblm and SGS1. Our analyses identify four possible subfamilies in the RECQ family: (1) the BLM subgroup (H. sapiens Bloom, D. melanogaster Dmblm, and Caenorhabditis elegans T04A11.6); (2) the yeast RECQ subgroup (S. cerevisiae SGS1 and Schizosaccharomyces pombe rqh1/rad12); (3) the RECQL/Q1 subgroup (H. sapiens RECQL/Q1 and C. elegans K02F3.1); and (4) the WRN subgroup (H. sapiens Werner and C. elegans F18C5.2). This result may indicate that metazoans hold at least three RECQ genes, each of which may have a different function, and that multiple RECQ genes diverged with the generation of multicellular organisms. We propose that invertebrates such as nematodes and insects are useful as model systems of human genetic diseases.",1999,"K Kusano, M E Berres, W R Engels, K Kusano, M E Berres, W R Engels"
GFP-tagged balancer chromosomes for Drosophila melanogaster,10534621,10.1016/s0925-4773(99)00174-4,"We constructed green fluorescent protein (GFP)-expressing balancer chromosomes for each of the three major chromosomes of Drosophila melanogaster. Expression of GFP in these chromosomes is driven indirectly by a Kruppel (Kr) promoter, via the yeast GAL4-UAS regulatory system. GFP fluorescence can be seen in embryos as early as the germ band extension stage, and can also be seen in larvae, pupae, and adults. We show the patterns of GFP expression of these balancers and demonstrate the use of the balancers to identify homozygous progeny.",1999,"D Casso, F A RamÃ­rez-Weber, T B Kornberg, D Casso, F A RamÃ­rez-Weber, T B Kornberg"
"Development, evolution, and corroboration",10333399,10.1002/(SICI)1097-0185(19990215)257:1<6::AID-AR4>3.0.CO;2-I,"The cloning of genes involved in pathways fundamental to morphogenesis has opened the door to visualizing expression of developmental regulatory genes in many organisms. Expression data have become technical commonplace in analysis of mutants of Drosophila melanogaster and a handful of other genetic model systems. Many researchers have used probes and extended the logic from studies of D. melanogaster for comparisons of expression patterns to infer developmental bases for homologous structures among animals with diverse body plans. This research program has led to exciting but sweeping generalizations about how development evolves. Here we examine several underlying assumptions of this approach in terms of comparative and historical biology. First, we evaluate the logic that underlies the equation of gene expression similarity with homologous morphology. Second, we examine epistemological issues surrounding the descriptive visualization of gene expression patterns. We conclude by examining the role of phylogenetic coding and mapping of these patterns to examine the evolution of complex gene regulatory networks.",1999,"D Janies, R DeSalle, D Janies, R DeSalle"
[Frequency of sex chromosome nondisjunction as affected by microtubule destabilization and heat shock in various lines of Drosophila melanogaster],10519067,,"Vinblastine (Vb), a drug belonging to a group of mitotic poisons, was shown to induce sexual chromosome nondisjunction and loss (SCNL) in oogenesis of different strains of Drosophila melanogaster. Heat shock (37 degrees C, 45 min) decreases the frequency of these events. The highest level of nondisjunction was demonstrated in the temperature-sensitive strain both after heat shock and Vb treatment. No increase of SCNL frequency in oocytes of females treated with griseofulvin (Gf) and Colchicine (Cl), analogues of Vb.",1999,"P Ia Shvartsman, O A Isaenko, P Ia Shvartsman, O A Isaenko"
