High rate of movement of one (mdg3) out of four transposable elements in a natural population of Drosophila melanogaster,7994610,,"We have analysed by in situ hybridization the insertion site polymorphism of the copia, mdg1, mdg3, and P transposable elements in diploid genomes of wild males from a natural population of Drosophila melanogaster. The values of observed average degree of individual heterozygosity for all elements except mdg3 deviate statistically from the values expected by site frequencies, revealing a tendency toward homozygosity as if drift or a structuration in the population was operating. The high degree of heterozygosity for mdg3 which in addition does not deviate from the expected value, suggests that recent high rate of movements has strongly countered the population host effect on this element. Hence, heterozygosity for TEs may well reflect the history of the population, and reveals temporary high rate of site movement existing in natural populations.",1994,"C Biémont, F Lemeunier, C Gautier, M Garcia Guerreiro, S Aulard, E G Pasyukova, C Biémont, F Lemeunier, C Gautier, M Garcia Guerreiro, S Aulard, E G Pasyukova"
The determination of biogenic amines in four strains of the fruit fly Drosophila melanogaster,8123727,10.1016/0731-7085(93)80096-j,"A range of biogenic amines were measured in the heads from four strains of Drosophila melanogaster. Quantitation was carried out using gas chromatography-negative ion chemical ionization mass spectrometry (GC-NICIMS) with stable isotope dilution. The principal amines detected in the heads were dopamine, noradrenaline and 5 HT with small amounts of p- and m-tyramine; p-octopamine could not be detected in samples of 25 heads with a limit of detection of 10 pg per sample. In addition to conventional neurotransmitters or putative neurotransmitters the amines 5- and 6-hydroxydopamine were detected in the heads in substantial amounts.",1993,"D G Watson, P Zhou, J M Midgley, C D Milligan, K Kaiser, D G Watson, P Zhou, J M Midgley, C D Milligan, K Kaiser"
Genetic analysis of the X-chromosomal region 1E-2A of Drosophila melanogaster,8510653,10.1007/BF00281626,"Reversion mutagenesis of three single P elements located in the cytogenetic interval 1E-2A at the tip of the X chromosome of Drosophila melanogaster was used to recover new deletions in this chromosomal region. The deletions obtained include small aberrations within region 2A and larger lesions extending from 2A into 1E and 1B. All three screens also yielded terminal deficiencies. The new deficiencies, together with previously characterized rearrangements, were analyzed for their complementation behaviour with the maternal effect locus fs(1) Nasrat and lethal loci in the region. These analyses provide an overall genetic map of the interval 1E-2A. In addition, the smaller deletions were physically mapped within cloned genomic DNA of the 2A region.",1993,"A Degelmann, A Degelmann"
The non-dosage compensated LSP1-alpha gene of Drosophila melanogaster lies immediately downstream of the dosage compensated L12 gene,1376406,10.1007/BF00587560,"The X-linked gene LSP1-alpha of Drosophila melanogaster, expressed in the third larval instar, does not exhibit dosage compensation at its normal locus but does compensate when it is relocated to ectopic sites on the X chromosome. A transcription unit designated L12, which is active in the second larval instar and capable of encoding a putative protein of 28.5 kDa, lies immediately downstream from LSP1-alpha. We have determined that L12 is dosage compensated by measuring the steady-state level of its transcript in male and female larvae. The difference in response of these two adjacent genes should be taken into consideration when models of the mechanism of dosage compensation are formulated.",1992,"S Ghosh, J C Lucchesi, J E Manning, S Ghosh, J C Lucchesi, J E Manning"
[A muscle mutant of Drosophila melanogaster: the electron microscopic study of the indirect flight musculature],1798635,,"Dominant autosomal mutation l(2)M66 DCS induced in Drosophila melanogaster by ethyl-methane-sulfonate was studied. Electron-microscopic studies of asynchronous (fibrillar) and synchronous (tubular) muscles in 24-hour old mutants showed pathological changes in their fine structure. All systems were affected: the fragmentation of the Z-lines, disappearance of protofibrils, degenerative changes of mitochondria, sarcoplasmic reticulum, and the T-system, the appearance of membrane aggregates and lysosomes, the presence of a large amount of glycogen were detected. These changes in the ultrastructure of the flight muscles in mutants are similar to those observed in the process of physiological degeneration of insect muscles.",1991,"M V Generalova, M E Kriukova, M V Generalova, M E Kriukova"
[Adaptability of experimental populations of Drosophila melanogaster in directed and stabilizing selection],1778451,,"Stabilizing selection for a set of morphometric wing traits was combined with directional selection for increased expression of radius incompletus (ri) mutation of Drosophila melanogaster. Three experimental regimens were used: directional and stabilizing selection (stabilized lines); directional selection (unstabilized lines); no selection (control lines). The dynamics of two fitness-associated parameters (coefficient of fluctuating asymmetry and population size) was registered during the experiment. At the end of experiment, selection competitive ability test was carried out. The competitive indices did not significantly differ under various treatments, while fluctuating asymmetry was significantly lower in stabilized than in unstabilized lines. Average population size was greater in stabilized lines as compared to the unstabilized ones. The possible causes for these differences are discussed.",1991,"O E Lazebnyĭ, A G Imasheva, L A Zhivotovskiĭ, O E Lazebnyĭ, A G Imasheva, L A Zhivotovskiĭ"
A novel eye morphology induced by a P element in somatic tissue of Drosophila melanogaster,1648167,10.1007/BF00259669,"We found a specific eye morphology designated as Square, which is induced when some Drosophila melanogaster strains harboring P elements are crossed with the delta 2-3 strain carrying a modified P element, P[ry+, delta 2-3], which produces transposase in somatic tissue. This phenotype was dominant and also induced in the reciprocal crosses. Square was induced when the delta 2-3 strain was crossed with Q and M' strains such as the snw (M) strain carrying three small P elements but not with P strains. Inheritance of Square was also tested and its phenotype was not transmitted to the next generation. These results suggest that Square is caused by the transposition of P elements in somatic cells.",1991,"E Nitasaka, T Yamazaki, E Nitasaka, T Yamazaki"
"Evidence for retrotransposition of the I factor, a LINE element of Drosophila melanogaster",1647020,10.1073/pnas.88.11.4907,"LINEs are transposable elements found in various eukaryotes such as plants, protists, insects, and mammals. Their transposition is usually difficult to study, particularly in humans, where some diseases have been shown to result from LINE insertion mutations. This is due to the fact that most copies of any particular family of elements are defective and that their transposition frequency is low. By contrast, the I factor of Drosophila melanogaster transposes at high frequency during I-R hybrid dysgenesis and is a good model for studying the LINE element superfamily. LINEs encode putative polypeptides showing similarities with viral reverse transcriptases but, unlike viral retrotransposons, they do not have terminal repeats and their ability to transpose by reverse transcription has previously only been inferred from structural analysis. Here we present direct evidence for LINE retrotransposition. Transposition of an I factor marked by an intron resulted in accurate removal of the intron.",1991,"A Pélisson, D J Finnegan, A Bucheton, A Pélisson, D J Finnegan, A Bucheton"
Molecular cloning and analysis of the chromosomal region 26A of Drosophila melanogaster,1903503,10.1007/BF00273609,Region 26A of the second chromosome of Drosophila melanogaster has been extensively characterized at the genetic level. We report here the cloning of virtually the entire 26A region via a bidirectional chromosome walk. Deletion and translocation breakpoints in the 26A interval have been localized at the molecular level by both chromosomal in situ hybridization and Southern analysis. The locations of the genetically defined loci in this chromosomal region have also been correlated with transcriptional units mapped onto the DNA of the proximal region of the chromosomal walk. The position of the alpha-glycerophosphate dehydrogenase (alpha-Gpdh) gene in 26A5-7 has been confirmed and a putative transcriptional unit for the beta-galactosidase-1 (beta-Gal-1) gene has been identified in the 26A7-9 interval.,1991,"D C Knipple, T R Fuerst, R J MacIntyre, D C Knipple, T R Fuerst, R J MacIntyre"
A genetic and molecular analysis of P-induced mutations at the glucose-6-phosphate dehydrogenase locus in Drosophila melanogaster,2560135,10.1007/BF00259616,"We examined P factor induced mutations of the Zw gene of Drosophila melanogaster in order to learn more about the site specificity of such mutations. Approximately 70,000 chromosomes were screened using a powerful positive selection scheme. As only two mutants were discovered, Zw is a ""cold spot"" for transposable element insertion. One mutation involved a complex P element associated chromosomal rearrangement which was used to define the orientation of the gene with respect to the centromere of the X chromosome. The second mutation was either a simple, non-dysgenically induced point mutation or a very unstable insertion.",1989,"D Nero, N Bowditch 3rd, S Pickert, R J MacIntyre, D Nero, N Bowditch 3rd, S Pickert, R J MacIntyre"
Characterization of 5' truncated transposed copies of the I factor in Drosophila melanogaster,2550903,10.1093/nar/17.17.6939,"I factors in Drosophila melanogaster are transposable elements structurally related to Mammalian LINEs. Their transposition is activated at high frequencies during I-R hybrid dysgenesis and is associated with the production of mutations of various sorts. Very few of these mutations have been studied at the molecular level; those reported so far result either from chromosomal rearrangements or from insertions of complete I factors. We have analysed three I-R induced yellow mutations and have found that one of them is due to the insertion of an I element very similar to the complete I factor, whereas the other two are due to insertions of I elements that are truncated at their 5' ends; one of them exhibits an unusual 3' end. We discuss possible mechanisms of production of such modified I elements.",1989,"I Busseau, A Pelisson, A Bucheton, I Busseau, A Pelisson, A Bucheton"
Polytene chromosomes from ovarian pseudonurse cells of the Drosophila melanogaster otu mutant. I. Photographic map of chromosome 3,2498045,10.1007/BF00292763,"Certain mutant alleles of the otu locus in Drosophila melanogaster produce abnormal nurse cells in the ovaries. These cells are called pseudonurse cells (PNC), since they generate polytene chromosomes instead of endopolyploid ones and do not normally have an oocyte to nurse. The banding pattern of polytene chromosome 3 from the salivary glands (SG) and from PNCs of homozygous otu1 females was compared and a detailed photomap of PNC chromosomes with different degrees of polyteny is presented. The banding pattern was found to be strikingly similiar in the two tissues. The puffing pattern of the PNC chromosomes is discussed. No constrictions or breaks were found in the PNC chromosomes which seems to indicate that these sites, which are known to be underreplicated in the SG chromosomes, are equally replicated along with the rest of the chromosomes in the PNC nuclei.",1989,"T I Heino, T I Heino"
Female sterile mutations on the second chromosome of Drosophila melanogaster. I. Maternal effect mutations,2492966,,"In mutagenesis screens for recessive female sterile mutations on the second chromosome of Drosophila melanogaster 529 chromosomes were isolated which allow the homozygous females to survive, but cause them to be sterile. In 136 of these lines, mutant females produce morphologically normal eggs which cannot support normal embryonic development. These ""maternal-effect"" mutations fall into 67 complementation groups which define 23 multiply hit and 44 singly hit loci. In eggs from 14 complementation groups development is blocked before the formation of a syncytial blastoderm. In eggs from 12 complementation groups development is abnormal before cellularization, 17 complementation groups cause abnormal cellularization, 12 complementation groups cause changes in cellular morphology in early gastrulation stages, and 12 complementation groups seem to affect later embryonic development.",1989,"T Schüpbach, E Wieschaus, T Schüpbach, E Wieschaus"
Genetic determinants of glutamine synthetase in Drosophila melanogaster: a gene for glutamine synthetase I resides in the 21B3-6 region,2907404,10.1007/BF02399602,"Recombinational and deletion mapping of electrophoretic variants of the glutamine synthetase I isozyme (GSI) in Drosophila melanogaster locates the gene in the 21B region on the second chromosome. We have conducted a genetic analysis of the region extending cytologically from 21A to 21B4-6. Recessive lethal mutations were generated by ethyl methanesulfonate (EMS) and ethyl nitrosourea (ENU) mutagenesis and by hybrid dysgenesis (HD). These lethals fall into seven functional groups, which were partially ordered by complementation with cytologically defined deficiencies of this region generated by hybrid dysgenesis. Two of the EMS- and two of the ENU-induced lethals fulfill biochemical criteria expected for null alleles of the GSI gene.",1988,"C Caggese, R Caizzi, M P Bozzetti, P Barsanti, F Ritossa, C Caggese, R Caizzi, M P Bozzetti, P Barsanti, F Ritossa"
Quantitative analysis of RNA produced by slow and fast alleles of Adh in Drosophila melanogaster,2455893,10.1073/pnas.85.14.5161,"The alcohol dehydrogenase (ADH) locus (Adh) of Drosophila melanogaster in polymorphic on a world-wide basis for two allozymes, Fast and Slow. This study was undertaken to determine whether the well-established difference in ADH protein concentration between the allozymes is due to a difference in mRNA levels. RNA gel blot hybridization and an RNase protection assay were used to quantify ADH mRNA levels. Each method used an Adh null mutant as an internal standard. Several Slow and Fast allele pairs of different geographic origins were analyzed. The results provide strong evidence that the ADH protein concentration difference is not accounted for by RNA level.",1988,"C C Laurie, L F Stam, C C Laurie, L F Stam"
Genetic polymorphism and high detrimental load in natural populations of Drosophila melanogaster from cellar and vineyard,3119525,10.1038/hdy.1987.117,"Two Spanish natural populations of Drosophila melanogaster have been analysed with respect to genetic variability in third chromosome viability. The two populations, although from the same locality, belong to relatively different habitats: the inside of a cellar and a vineyard. The patterns of homozygote and heterozygote viability are similar in both populations. The homozygous detrimental loads estimated are very high and the values for the D:L (detrimental/lethal) ratio close to 2.5, which is higher than any previously found. The environmental variance of viability, average degrees of dominance of lethal genes and of viability polygenes and effective population sizes were estimated in each population. The mechanisms which could maintain variability in these populations, the causes of the high detrimental loads and the possibility that cellar and vineyard could be two subpopulations of a larger population are discussed.",1987,"A González, J L Ménsua, A González, J L Ménsua"
Pigment patterns in mutants affecting the biosynthesis of pteridines and xanthommatin in Drosophila melanogaster,3092804,10.1007/BF00504334,"Eye-color mutants of Drosophila melanogaster have been analyzed for their pigment content and related metabolites. Xanthommatin and dihydroxanthommatin (pigments causing brown eye color) were measured after selective extraction in acidified butanol. Pteridines (pigments causing red eye color) were quantitated after separation of 28 spots by thin-layer chromatography, most of which are pteridines and a few of which are fluorescent metabolites from the xanthommatin pathway. Pigment patterns have been studied in 45 loci. The pteridine pathway ramifies into two double branches giving rise to isoxanthopterin, ""drosopterins,"" and biopterin as final products. The regulatory relationship among the branches and the metabolic blockage of the mutants are discussed. The Hn locus is proposed to regulate pteridine synthesis in a step between pyruvoyltetrahydropterin and dihydropterin. The results also indicate that the synthesis and accumulation of xanthommatin in the eyes might be related to the synthesis of pteridines.",1986,"J Ferré, F J Silva, M D Real, J L Ménsua, J Ferré, F J Silva, M D Real, J L Ménsua"
Expression and localization of Drosophila melanogaster hsp70 cognate proteins,2431275,10.1128/mcb.6.4.1187,"Monoclonal antibodies have been used to identify three proteins in Drosophila melanogaster that share antigenic determinants with the major heat shock proteins hsp70 and hsp68. While two of the proteins are major proteins at all developmental stages, one heat shock cognate protein, hsc70, is especially enriched in embryos. hsc70 is shown to be the product of a previously identified gene, Hsc4. We have examined the levels of hsp70-related proteins in adult flies and larvae during heat shock and recovery. At maximal induction in vivo, hsp70 and hsp68 never reach the basal levels of the major heat shock cognate proteins. Monoclonal antibodies to hsc70 have been used to localize it to a meshwork of cytoplasmic fibers that are heavily concentrated around the nucleus.",1986,"K B Palter, M Watanabe, L Stinson, A P Mahowald, E A Craig, K B Palter, M Watanabe, L Stinson, A P Mahowald, E A Craig"
