In vivo interactions of RNA polymerase II with genes of Drosophila melanogaster,3018544,10.1128/mcb.5.8.2009,"We describe a method for examining the in vivo distribution of a protein on specific eucaryotic DNA sequences. In this method, proteins are cross-linked to DNA in intact cells, and the protein-DNA adducts are isolated by immunoprecipitation with antiserum against the protein. Characterization of the DNA cross-linked to the precipitated protein identifies the sequences with which the protein is associated in vivo. Here, we applied these methods to detect RNA polymerase II-DNA interactions in heat-shocked and untreated Drosophila melanogaster Schneider line 2 cells. The level of RNA polymerase II associated with several heat shock genes increased dramatically in response to heat shock, whereas the level associated with the copia genes decreased, indicating that both induction of heat shock gene expression and repression of the copia gene expression by heat shock occur at the transcriptional level. Low levels of RNA polymerase II were present on DNA outside of the transcription units, and for at least two genes, hsp83 and hsp26, RNA polymerase II initiated binding near the transcription start site. Moreover, for hsp70, the density of RNA polymerase II on sequences downstream of the polyadenylate addition site was much lower than that observed on the gene internal sequences. Examination of the amount of specific restriction fragments cross-linked to RNA polymerase II provides a means of detecting RNA polymerase II on individual members of multigene families. This analysis shows that RNA polymerase II is associated with only one of the two cytoplasmic actin genes.",1985,"D S Gilmour, J T Lis, D S Gilmour, J T Lis"
A small region on the X chromosome of Drosophila regulates a key gene that controls sex determination and dosage compensation,3931920,10.1016/0092-8674(85)90284-3,"In Drosophila, flies with two X chromosomes are females, with one X chromosome, males. We investigated the presence of sex determining factors on the X chromosome by constructing genotypes with one X and various X-chromosomal duplications. We found that female determining factors are not evenly distributed along the X chromosome as had been previously postulated. A distal duplication covering 35% of the X chromosome promotes female differentiation, a much larger proximal duplication of 60% results in male differentiation. The strong feminizing effect of distal duplications originates from a small segment that, when present in two doses, activates Sxl, a key gene for sex determination and dosage compensation. Our results suggest that Sxl can be activated to intermediate levels.",1985,"M Steinmann-Zwicky, R Nöthiger, M Steinmann-Zwicky, R Nöthiger"
An ecdysterone-responsive puff site in Drosophila contains a cluster of seven differentially regulated genes,3090270,10.1016/s0022-2836(86)80002-x,"We have determined the molecular organization of an ecdysterone-responsive puff site in Drosophila melanogaster. The 71E puff site contains a tightly linked cluster of at least seven genes within a neighborhood of 10 X 10(3) base-pairs. All the genes are expressed in a tissue-specific manner in either the larval or the prepupal salivary gland. However, these genes can be divided into two groups on the basis of their temporal pattern of transcription. Six of the genes are expressed only in prepupal salivary glands and are arranged as three divergently transcribed pairs. Nestled within this region is one gene expressed primarily in late third-instar salivary glands. We conclude that this developmentally complex puff site contains six members of the ecdysterone-induced ""late""-gene set and one member of the ecdysterone-regulated ""intermolt"" -gene set. Additional complexity is found at the transcript level: a heterogeneously sized population of RNA molecules arises from each of the seven genes.",1986,"L L Restifo, G M Guild, L L Restifo, G M Guild"
Histochemical analysis of the ecdysterone-regulated expression of the Drosophila genes P1 and LSP-2,3453783,10.1002/dvg.1020070405,"3H-labeled DNA probes for the ecdysterone-inducible Drosophila genes P1 and LSP-2 were hybridized in situ to RNA in sections of embryos and larvae. Intense hybridization was detected specifically in fat body cells of third-instar larvae and not in other cells of third-instar larvae nor in any cells at earlier stages. These results confirm the stringent tissue- and stage-specificity of P1 and LSP-2 expression. Hybridization of both probes occurred to virtually all the cells in the fat bodies, indicating that both genes are expressed in the same cells. Since P1 expression begins several hours later than LSP-2 expression, and appears to be induced directly by ecdysterone, this finding implies that one or more of the fat body components mediating the response to ecdysterone is gene-specific.",1986,"M L Paco-Larson, Y Nakanishi, M Levine, A Garen, M L Paco-Larson, Y Nakanishi, M Levine, A Garen"
"THE REPRODUCTIVE RELATIONSHIPS OF DROSOPHILA SECHELLIA WITH D. MAURITIANA, D. SIMULANS, AND D. MELANOGASTER FROM THE AFROTROPICAL REGION",28556049,10.1111/j.1558-5646.1986.tb00468.x,"Hybridization tests among the four sibling species of the Drosophila melanogaster complex were made to determine the reproductive status of the recently discovered D. sechellia (which is endemic to a few islands and islets of the Seychelles archipelago) with regard to its three close relatives, D. mauritiana (endemic to Mauritius) and Afrotropical strains of the two cosmopolitan species D. melanogaster and D. simulans. Interstrain variation in the ability to hybridize with other species was also analyzed for D. melanogaster and D. simulans. D. mauritiana and D. simulans appear to be more weakly isolated from each other than either species is from D. sechellia. A striking unilateral mating success is observed in the cross of D. sechellia with D. simulans. The most extreme isolation is between D. melanogaster and its three siblings. Variation in the ability of strains to hybridize is observed in heterospecific crosses between D. simulans and either D. melanogaster or D. mauritiana.",1986,"Daniel Lachaise, Jean R David, Francoise Lemeunier, Leonidas Tsacas, Michael Ashburner, Daniel Lachaise, Jean R David, Francoise Lemeunier, Leonidas Tsacas, Michael Ashburner"
Expression of a new beta tubulin subunit is induced by 20-hydroxyecdysone in Drosophila cultured cells,3080985,10.1016/0006-291x(86)90546-2,"One polypeptide, P4, of molecular weight 55000 daltons and pHi, 5,1, is synthesized in Drosophila melanogaster Kc 0% cells only when they were treated by the insect moulting hormone, 20 hydroxyecdysone (20-HE). P4 is precipitated with vinblastine sulfate and migrates as a tubulin subunit. Immunoblot experiment confirms that P4 is a beta subunit of tubulin. This beta tubulin is recovered by in vitro translation only when mRNAs are extracted from treated cells. Thus, regulation of expression of this polypeptide is at the level of transcripts and is under a steroid hormone control. The 20-HE induced beta tubulin comigrates with the beta 3 subunit and like the latter, is specific to the mid period of embryogenesis.",1986,"M L Sobrier, J L Couderc, S Chapel, B Dastugue, M L Sobrier, J L Couderc, S Chapel, B Dastugue"
Cloning and nucleotide sequence of the murine hsp84 cDNA and chromosome assignment of related sequences,2445630,10.1016/0378-1119(87)90155-7,"The nucleotide (nt) sequence of mouse 84-kDa heat shock protein (Hsp) cDNA has been determined using a combination of molecular cloning and oligodeoxynucleotide priming on poly(A) + RNA. The cDNA was 2.5 kb long, not including the poly(A) tail. It contained a 5' leader of about 94 nt that was G + C-rich, and a 243-nt 3'-untranslated region that was A + T-rich in the vicinity of the polyadenylation signal. Gene hsp84 codes for an acidic polypeptide of 724 amino acid (aa) residues. Mouse Hsp84 had 81% and 63% aa homology to Drosophila melanogaster Hsp82 and yeast Hsp90, respectively. The nucleotide sequence had 74% and 59% homology to Drosophila and yeast hsp sequences, respectively, in the coding regions of these genes. This homology did not extend to the 5' - and 3'-untranslated regions. Chromosomal analysis indicated that hsp84-related sequences are on at least three different chromosomes.",1987,"S K Moore, C Kozak, E A Robinson, S J Ullrich, E Appella, S K Moore, C Kozak, E A Robinson, S J Ullrich, E Appella"
The Drosophila sex determination gene daughterless has different functions in the germ line versus the soma,3802198,10.1016/0092-8674(87)90198-x,"As a regulator of the female-specific gene Sxl, da+ provides an essential maternal component in the control of sex determination and dosage compensation; nevertheless, neither the maternal nor zygotic phenotypes of the original mutant da allele is sex-specific. Here we clarify the role of da+ in Drosophila development, finding: this sex determination gene is indeed pleiotropic; zygotic functioning of da+ is essential in both sexes for somatic cell development, but not for germ cell development; da female sterility results from a somatic, rather than germ-line, defect; and expression of da+ in the maternal germ line is required only for daughters in the subsequent generation, as expected for a specific regulator of Sxl+. These conclusions follow from the characterization of new da null alleles isolated by a selection for defects in maternally acting positive regulators of Sxl.",1987,"C Cronmiller, T W Cline, C Cronmiller, T W Cline"
A Comprehensive Study of Genic Variation in Natural Populations of Drosophila melanogaster. III. Variations in Genetic Structure and Their Causes between Drosophila melanogaster and Its Sibling Species Drosophila simulans,17246411,,"The natural populations of Drosophila melanogaster and Drosophila simulans were compared for their genetic structure. A total of 114 gene-protein loci were studied in four mainland (from Europe and Africa) and an island (Seychelle) populations of D. simulans and the results were compared with those obtained on the same set of homologous loci in fifteen worldwide populations of D. melanogaster. The main results are as follows: (1) D. melanogaster shows a significantly higher proportion of loci polymorphic than D. simulans (52% vs. 39%, P<0.05), (2) both species have similar mean heterozygosity and mean number of alleles per locus, (3) the two species share some highly polymorphic loci but they do not share loci that show high geographic differentiation, and (4) D. simulans shows significantly less geographic differentiation than D. melanogaster. The differences in genetic differentiation between the two species are limited to loci located on the X and second chromosomes only; loci on the third chromosome show similar level of geographic differentiation in both species. These two species have previously been shown to differ in their pattern of variation for chromosomal polymorphisms, quantitative and physiological characters, two-dimensional electrophoretic (2DE) proteins, middle repetitive DNA and mitochondrial DNA. Variation in niche-widths and/or genetic ""strategies"" of adaptation appear to be the main causes of differences in the genetic structure of these two species.",1987,"M Choudhary, R S Singh, M Choudhary, R S Singh"
[Transposition bursts in analysis of repeated mutations in unstable strains of Drosophila melanogaster],2840340,,"The phenomenon of transposition memory was earlier demonstrated for the cut locus and mdg4. This work has been aimed at finding out, in what way the transposition memory can be realized. An unstable stock cmMR17ctMRpN17 was analysed which had high frequency of double cm+ct+ reversions and cmMRctMRpN repeated mutations. A series of five such transpositions could be followed. The ctMRpN17 mutation is a result of insertion at the cut locus mdg4 with the jockey element inserted within it. As seen from in situ hybridization analysis, transitions to the normal phenotype correlate, as a rule, with the excision of mdg4 and the jockey from the cut locus. Analysis of distribution of mdg1, mdg2, mdg3 and jockey on the X-chromosome of unstable revertants and repeated mutants indicated that not only transpositions of mdg4 and jockey, but also those of all mobile elements tested occur. So, we propose that the transposition memory in our genetic system is manifested in the process of transposition bursts.",1988,"E Z Kochieva, T I Gerasimova, E Z Kochieva, T I Gerasimova"
Intermicrotubular actin filaments in the transalar cytoskeletal arrays of Drosophila,3151490,,"Rabbit muscle myosin subfragment S1 decorates 6 nm diameter filaments in Drosophila wing epidermal cells in the arrowhead fashion characteristic of the binding of subfragment S1 to actin filaments. The filaments in question are concentrated between microtubules that are mostly composed of 15 protofilaments and form cell surface-associated transcellular bundles. There are indications that the majority of the actin filaments have the same polarity and that, like the microtubules, they may elongate from sites at the apical surfaces of the cells. The bundles of F actin and microtubules occur in dorsal and ventral epidermal cell layers of a wing blade. They are joined in dorso-ventral pairs by attachment desmosomes. These transalar cytoskeletal arrays may provide an example of a situation where actin filaments operate as stiffeners rather than active generators of force in conjunction with myosin. The arrays probably function as noncontractile pillars to maintain basal cell extensions and keep haemocoelic spaces open in the highly folded and expanding wing blades of late pupae.",1988,"M M Mogensen, J B Tucker, M M Mogensen, J B Tucker"
