FBgn0027561,CG18659,"anon-wo0118547.140, anon-wo0118547.145, bcdna:gh08789, cg30347, cg30348, cg8059, dmel\cg18659, fbgn0042194, fbgn0050347, fbgn0050348, fbgn0062216, fbgn0062219"
FBgn0033379,Mys45A,"anon-wo0118547.170, cg8070, cg8070-pa, cg8070-ra, dmel\cg8070, fbgn0062194, mys-45a, mys45a, mystery"
FBgn0033377,Pmm45A,"cg8073, cg8073-pa, cg8073-ra, dmel\cg8073"
FBgn0033375,CG8078,"anon-wo0118547.76, dmel\cg8078, fbgn0061679"
FBgn0033374,CG13741,"cg30346, dmel\cg13741, fbgn0050346"
FBgn0033373,CG8080,"cg30346, dmel\cg8080, fbgn0050346"
FBgn0033372,CG13742,"bcdna:ld16446, dmel\cg13742, fbgn0063157"
FBgn0024189,sns,"43-49, cg12495, cg13752, cg13753, cg13754, cg13755, cg18464, cg2385, cg33141, cg33141-pa, cg33141-ra, cg8278, ct33230, ct33232, dmel\cg33141, fbgn0026614, fbgn0033331, fbgn0033332, fbgn0033333, fbgn0033334, fbgn0033335, fbgn0033336, fbgn0040776, fbgn0042193, fbgn0053141, q9v4y1, q9v4y2, q9v4y3, q9v4y4, q9v4y5, q9v4y6, rost, sens, sns, sns-ra, sns20, stick-and-stones, sticks and stone, sticks and stones, sticks-and-stones, unnamed"
FBgn0050350,CG30350,"cg8278, dmel\cg30350, fbgn0033334, gh17930"
FBgn0011286,RyR,"cg10844, cg10844-pa, cg10844-pb, cg10844-pc, cg10844-pd, dmel\cg10844, drr, dry, dryr, dya, fbgn0010268, fbgn0022194, l(2)k00424, l(2)k04913, q24321, q24499, q24500, q24501, q8mks3, q8mks4, q8mks5, q9v4y7, rya-44f, rya-r44f, rya-r44f-pa, rya-r44f-pb, rya-r44f-pc, rya-r44f-pd, rya-r44f-pe, rya-r44f-pf, rya-r44f-pg, rya-r44f-ph, rya-r44f-pi, rya-r44f-pj, rya-r44f-ra, rya-r44f-rb, rya-r44f-rc, rya-r44f-rd, rya-r44f-re, rya-r44f-rf, rya-r44f-rg, rya-r44f-rh, rya-r44f-ri, rya-r44f-rj, rya-r76cd, ryanodine receptor, ryanodine receptor 44f, ryr, ryrs, unnamed"
FBgn0021825,Dmn,"cg8269, cg8269-pa, cg8269-ra, ddyn, dmel\cg8269, dmn, dyna, dynamitin, fbgn0033338, l(2)k16109, l(2)k16218, p50, p50 dynamitin, p50-dynamitin, p50/dmn, p50/dynamitin, p50[dmn]"
FBgn0033339,Sec31,"cg8266, cg8266-pa, cg8266-pb, cg8266-ra, cg8266-rb, dmel\cg8266, dsec31p, sec31, sec31-pa, sec31-pb, sec31-pc, sec31-ra, sec31-rb, sec31-rc"
FBgn0033340,CG13751,"bcdna:rh09719, dmel\cg13751, fbgn0047043"
FBgn0004921,Ggamma1,"a4uz90, bro4, cg8261, cg8261-pa, cg8261-pb, cg8261-pc, cg8261-ra, cg8261-rb, cg8261-rc, d-g[[gamma]]1, dg1alpha, dmel\cg8261, fbgn0022062, g protein gamma 1, g protein gamma1, g protein gg1, g protein subunit gamma1, g-protein gamma subunit 1, g[[gamma1]], g[[gamma]], gbetagamma, gg1, ggamma, ggamma-1, l(2)k08017, q540y8, q9v4z3"
FBgn0050349,CG30349,"cg13750, cg2396, dmel\cg30349, fbgn0033343, fbgn0033345, fbgn0063640"
FBgn0002552,lin,"cg11770, cg11770-pa, cg11770-ra, dmel\cg11770, fbgn0033346, lin"
FBgn0033349,CG8243,"dmel\cg8243, gap40"
FBgn0033350,CG8237,dmel\cg8237
FBgn0033352,PAN2,"a1z7k9, cg8232, cg8232-pa, cg8232-pb, cg8232-ra, cg8232-rb, dmel\cg8232, pan2"
FBgn0033353,CG13749,dmel\cg13749
FBgn0033355,CG13748,dmel\cg13748
