FBgn0031081,Neprilysin 3,CG9565,Dmel\Nep3,dNEP3
FBgn0052826,transfer RNA:Proline-CGG 1-1,CR32826,Dmel\tRNA:Pro-CGG-1-1,
FBgn0031085,,CG9570,Dmel\CG9570,
FBgn0062565,Odorant receptor 19b,CG32825,Dmel\Or19b,
FBgn0031088,,CG15322,Dmel\CG15322,
FBgn0041626,Odorant receptor 19a,CG18859,Dmel\Or19a,
FBgn0040784,karr,CG15323,Dmel\karr,
FBgn0031086,forkhead domain 19B,CG9571,Dmel\fd19B,
FBgn0031082,,CG17003,Dmel\CG17003,
FBgn0031080,,CG12655,Dmel\CG12655,
FBgn0052821,,CR32821,Dmel\CR32821,
FBgn0053217,,CG33217,Dmel\CG33217,
FBgn0052350,Vacuolar protein sorting 11,CG32350,Dmel\Vps11,
FBgn0024733,Ribosomal protein L10,CG17521,Dmel\RpL10,"Qm, L10, DQM"
FBgn0040372,G9a,CG2995,Dmel\G9a,"dG9a,  EG:BACR37P7.2 , EHMT"
FBgn0000316,cinnamon,CG2945,Dmel\cin,"fs(1)M50,  EG:BACR37P7.3 , l(1)G0142"
FBgn0024989,,CG3777,Dmel\CG3777,EG:125H10.1
FBgn0040371,,CG12470,Dmel\CG12470,EG:BACR37P7.5
FBgn0029521,Odorant receptor 1a,CG17885,Dmel\Or1a,1a
FBgn0004034,yellow,CG3757,Dmel\y,EG:125H10.2
FBgn0000022,achaete,CG3796,Dmel\ac,"Hw, T5,  EG:125H10.3 , AS-C T5, achaete-scute"
FBgn0004170,scute,CG3827,Dmel\sc,"sis-b, sisB, T4, Hw, Hairy-wing"
FBgn0002561,lethal of scute,CG3839,Dmel\l(1)sc,"l'sc, T3, lsc, AS-C T3,  EG:198A6.2"
FBgn0000137,asense,CG3258,Dmel\ase,"EG:165H7.2 , T8, T1a, AS-C T8"
FBgn0029522,,CG13373,Dmel\CG13373,
FBgn0052817,,CG32817,Dmel\CG32817,
FBgn0029524,,CG3176,Dmel\CG3176,
FBgn0023536,,CG3156,Dmel\CG3156,EG:171D11.2
FBgn0023534,,CG17778,Dmel\CG17778,EG:171D11.5
FBgn0023535,arginase,CG18104,Dmel\arg,"EG:171D11.4 ,  EG:65F1.3"
FBgn0023537,,CG17896,Dmel\CG17896,EG:171D11.1
FBgn0029525,,CG18273,Dmel\CG18273,EG:171D11.6
FBgn0029523,,CR18275,Dmel\CR18275,
FBgn0010019,Cytochrome P450-4g1,CG3972,Dmel\Cyp4g1,"T1, ASC-T1, P450,  EG:165H7.1 , scγ"
FBgn0011822,Pepsinogen C-like,CG13374,Dmel\Pgcl,"T2, pcl,  EG:EG0001.1 , pepsinogen-like, scβ"
FBgn0052816,,CG32816,Dmel\CG32816,
FBgn0040370,,CG13375,Dmel\CG13375,EG:BACR37P7.8
FBgn0040373,,CG3038,Dmel\CG3038,EG:BACR37P7.1
FBgn0000108,β amyloid protein precursor-like,CG7727,Dmel\Appl,"APP, APP-like, dAβ,  EG:65F1.5 , Amyloid Precursor Protein-like"
FBgn0025640,,CG13369,Dmel\CG13369,EG:115C2.1
FBgn0025635,,CG17829,Dmel\CG17829,EG:115C2.6
FBgn0001341,MYB binding protein 1a,CG6189,Dmel\Mybbp1A,"l(1)1Bi,  EG:115C2.2"
FBgn0003575,suppressor of sable,CG6222,Dmel\su(sable),"su(s),  EG:115C2.3 , su-s"
FBgn0025634,,CG13367,Dmel\CG13367,"EG:115C2.8 , anon-1BCb"
FBgn0025638,Regulator of cullins 1a,CG16982,Dmel\Roc1a,"Rbx1, dRbx1,  EG:115C2.11 , ROC1"
FBgn0040383,,CG5254,Dmel\CG5254,EG:BACR19J1.2
FBgn0040382,,CG5273,Dmel\CG5273,EG:BACR19J1.3
FBgn0027343,frizzled 3,CG16785,Dmel\fz3,"Dfz3,  EG:34F3.6 , Dfrizzled-3"
FBgn0025621,,CG16989,Dmel\CG16989,EG:34F3.4
FBgn0029535,,CG14635,Dmel\CG14635,
FBgn0026874,,CG13358,Dmel\CG13358,EG:34F3.10
FBgn0025616,,CG13359,Dmel\CG13359,EG:34F3.9
FBgn0015799,Retinoblastoma-family protein,CG7413,Dmel\Rbf,"Rbf1, Rb,  EG:34F3.3 , Retinoblastoma, dRBF"
FBgn0025620,,CG13360,Dmel\CG13360,EG:34F3.5
FBgn0015288,Ribosomal protein L22,CG7434,Dmel\RpL22,"L22, eRpL22,  EG:BACR19J1.4"
FBgn0029532,,CG13361,Dmel\CG13361,
FBgn0029531,,CG13362,Dmel\CG13362,
FBgn0025639,Histone methyltransferase 4-20,CG13363,Dmel\Hmt4-20,"Suv4-20,  EG:115C2.10 , Su(var)4-20"
FBgn0002579,Ribosomal protein L36,CG7622,Dmel\RpL36,"M(1)1B, M(1)Bld,  EG:115C2.7 , l(1)G0471"
FBgn0026879,,CG13364,Dmel\CG13364,EG:115C2.12
FBgn0029529,,CG13365,Dmel\CG13365,
FBgn0025633,,CG13366,Dmel\CG13366,EG:118B3.2
FBgn0040892,,CG14634,Dmel\CG14634,
FBgn0040341,,CG11664,Dmel\CG11664,"SP193,  EG:BACR7A4.3"
FBgn0029539,,CG11663,Dmel\CG11663,
FBgn0040339,Mediator complex subunit 22,CG3034,Dmel\MED22,"Med24,  EG:BACR7A4.6"
FBgn0052815,,CG32815,Dmel\CG32815,
FBgn0040340,TRAM,CG11642,Dmel\TRAM,EG:BACR7A4.5
FBgn0040347,mus81,CG3026,Dmel\mus81,EG:BACR7A4.16
FBgn0042146,,CG18823,Dmel\CG18823,
FBgn0029552,,CG14631,Dmel\CG14631,
FBgn0040337,,CG3021,Dmel\CG3021,"EG:BACR7A4.8 , anon-1Ed"
FBgn0040398,,CG14629,Dmel\CG14629,EG:103E12.2
FBgn0040365,,CG14628,Dmel\CG14628,EG:BACR42I17.12
FBgn0040397,,CG3655,Dmel\CG3655,EG:103E12.3
FBgn0026143,Cell division cycle 45,CG3658,Dmel\Cdc45,"CDC45L,  EG:BACR7A4.11"
FBgn0040351,,CG11638,Dmel\CG11638,EG:BACR7A4.12
FBgn0040338,TfIIA-S-2,CG11639,Dmel\TfIIA-S-2,"TFIIA,  EG:BACR7A4.7"
FBgn0040350,,CG3690,Dmel\CG3690,EG:BACR7A4.13
FBgn0040349,,CG3699,Dmel\CG3699,EG:BACR7A4.14
FBgn0040348,,CG3703,Dmel\CG3703,EG:BACR7A4.15
FBgn0040346,,CG3704,Dmel\CG3704,EG:BACR7A4.17
FBgn0040342,,CG3706,Dmel\CG3706,
FBgn0040345,,CG3708,Dmel\CG3708,EG:BACR7A4.18
FBgn0040343,,CG3713,Dmel\CG3713,EG:BACR7A4.2
FBgn0052814,,CG32814,Dmel\CG32814,
FBgn0040364,,CG11378,Dmel\CG11378,EG:BACR42I17.2
FBgn0040362,,CG11379,Dmel\CG11379,EG:BACR42I17.4
FBgn0040361,,CG14627,Dmel\CG14627,EG:BACR42I17.5
FBgn0040360,,CG14626,Dmel\CG14626,EG:BACR42I17.6
FBgn0040359,,CG11380,Dmel\CG11380,EG:BACR42I17.7
FBgn0040358,,CG14625,Dmel\CG14625,EG:BACR42I17.8
FBgn0029568,,CG11381,Dmel\CG11381,
FBgn0040357,,CG14624,Dmel\CG14624,EG:BACR42I17.9
