Symbol,Alias
fkh,"CG10002, DmelCG10002, Dmfkh, Sebp2, dFoxA"
P32,"CG 6459, CG6459, DmelCG6459, dp32"
Tango9,"87A7-9/5, CG10007, DmelCG10007, anon-87Ad"
phr,"C2PHR, CG11205, CG11205-PA, Dm CPD, DmelCG11205, Phl, anon-OV1, anonOV1"
Noa36,"CG10009, DmelCG10009, NOA 36"
CG11635,DmelCG11635
CG3062,"DmelCG3062, EG:84H4.5"
CG10014,DmelCG10014
Cam,"3909, CG8472, Cal, Cal49A, Cam1, D-CaM, DmCaM, DmCalm, DmelCG8472, anon-EST:Posey59, dCaM, l(2)03909, l(2)3909, lincRNA.S2634"
drm,"CG10016, DmelCG10016, drum"
CG2316,DmelCG2316
CG7101,DmelCG7101
bowl,"17-29-5, CG10021, DmelCG10021, Su(tor)2-1, l(2)c, org2"
Npc1b,"151, 4, 7, AF2/19, CG12092, DmelCG12092, Dmel_CG11233, Q256, R-9-28, R9-28, dncp1b, l(1)19Ec, l(1)2-3, l(1)R-9-28, l151, l152, lN5, lt2-14a"
CG12203,"DmelCG12203, IP11020p"
Pex5,"CG14815, DmelPex5, DmelCG14815, EG:63B12.5"
CG10032,DmelCG10032
CG9467,DmelCG9467
brk,"CG9653, Dm brk, DmelCG9653, ssg-1"
CG9663,DmelCG9663
CG10035,"DmelCG10035, anon-EST:Liang-20, clone 20"
CG17666,"DmelCG17666, bs31g10.y1"
CG43773,"CG10039, DmelCG43773"
Sans,"CG13320, DSANS, DmelCG13320"
MBD-R2,"CG10042, CG17393, Dm Tam3, DmelCG10042, MBD, MBDR2, Mbrd2, TAM3, dMBD-R2"
CG9288,"DmelCG9288, Dromel_CG9288_FBtr0082829_pyruvatekinasedomain_mORF"
RtGEF,"38C.40, ARHGEF7, CG10043, DmelCG10043, DrhoGEF, DrtGEF, Pix, Rho/RacGEF, RhoGEF, beta-PIX, betaPIX, dPix"
Pak,"CG10295, D-Pak, DPAK, DPak1, DmPAK1, DmelCG10295, PAK1, PAK2, p65[PAK]"
CG11345,DmelCG11345
CG11722,"BcDNA:AT14909, DmelCG11722"
CG11876,"CG 11876, DmelCG11876, E1beta, PDHB"
Git,"CG16728, CT37209, DmelCG16728, arfgap2, dgit"
Galphao,"Bkh, CG2204, DG[[o]], DGalpha0, DGalpha[[o]], DROGPAD, DmelCG2204, G(o)alpha47A, G-alpha-47A, G-oalpha, G-oalpha47A, G[[o]], G[[o]]alpha, G[[oalpha]], Galpha47A, Galpha[[047A]], Galpha[[0]], Galpha[[o]], Galphao47A, Go, Go-alpha, Goa, Goalpha, alpha(o), dgo, dgoalpha"
fws,"CG6549, COG5, DmelCG6549, anon-EST:Posey162, anon-EST:Posey186, dCOG5"
GstD1,"CG10045, D1, DmGST-1, DmGST1, DmGSTD1, DmGSTD1-1, DmelCG10045, G-S-T, GST, GST-1, GST-D1, GST1, GST1-1, GSTase, Gst1.1, T5, gst-D, gst-D1-1, gstD"
hui,"CG10200, DmelCG10200"
sala,"BcDNA:RE40068, CG4922, DmelCG4922, chr2L:11486634..11486740, nsal, sal"
Syt4,"CG10047, D.Syt IV, DmelCG10047, Syt IV, SytIV, dsyt4, syt 4"
CG9205,DmelCG9205
CG10051,DmelCG10051
CG2767,DmelCG2767
CG4461,"148460_at, 4461, BEST:GH12586, DmCG4461, DmelCG4461, Hsp20, gh12586"
CG10053,"BEST:LD41878, BEST:LD45537, DmelCG10053"
CG14354,DmelCG14354
MAGE,"CG10059, DMAGE, DmelCG10059, Nse3, sst"
CG13142,"DmelCG13142, Nse4"
Sas-4,"CG10061, CPAP, D-Sas4, DSAS-4, DSas4, DmelCG10061, SAS4, d-SAS-4, l(3)S2214"
BEAF-32,"BEAF, BEAF-32A, BEAF-32B, BEAF32, BEAF32A, BEAF32B, CG10159, DmelCG10159, bs04c01.y1"
rl,"12559, BcDNA:RE08694, CG12559, CG18732, CT34260, CT39192, D-ERK, DERK, DERK-A, DmERK-A, DmERKA, DmErk, DmMAPK, DmelCG12559, DpERK, Dsor2, E(sina)7, EK2-1, ERK, ERK-A, ERKA, EY2-2, Erk/Map kinase, Erk1, GroupII, MAP-k, MAPK, SEM, SR2-1, Su(Raf)2B, dm-dpERK, dp-ERK, dpERK1, dpMAPK, l(2)41Ac, l(2R)EMS45-39, pERK, pMAPK, rl/ERK, rl/MAPK, rll"
cm,"AP-3, AP-3mu, AP3mu3, CG3035, CG32731, DmelCG3035, Dmu3, Mu3, apm3, l(1)VEM119"
CtBP,"0256/16, 256/16, BcDNA:GH07572, CG7583, Dm-CtBP, DmelCG7583, EP(3)3528, G9, RE01030, RE61183, dCtBP, l(3)03463, l(3)03464, l(3)87DE, l(3)G9"
CG8010,DmelCG8010
MFS16,"CG10069, DmelCG10069"
slgA,"CG1417, DmelCG1417, EE85, PRODH, sl, slg, tu3"
emc,"0094/26, 0203/10, 0587/01, 0977/09, Ach, CG1007, Dm0688, DmelCG1007, bHLHb28, gov, l(3)04322, l(3)05592, l(3)61Da, l(3)j4E11, ms(3)61CD"
prod,"CG18608, DmelCG18608, l(2)88/10, l(2)k08810"
HLH4C,"CG3052, DmelCG3052, DroNHLH, EG:84H4.2, bHLH36"
sc,"AS-C T4, AS-C T4sc, CG3827, DROACS2, DmelCG3827, EG:198A6.1, Hw, T4, T4 AS-C, ascT4, bHLHc28, l(1)1Ba, sc/T4, scalpha, scute/sisterlessB, sis b, sis-b, sisB"
RpL29,"BcDNA:RH58777, CG10071, DL43, DmelCG10071, L29, RpL43, anon-EST:Posey204, anon-EST:Posey73"
FER,"CG8874, DFER, Dfps, Dm FPS, DmHD-179, DmelCG8874, FPS, Fps85D, HD-179, dfps 85D, dfps85D"
CG10073,DmelCG10073
CG11023,DmelCG11023
CG10075,DmelCG10075
CG11322,DmelCG11322
spir,"38C.34, 38C.37, CG10076, CG18621, DmelCG10076, NP2788, Spire, l(2)08327, p150-Spir, p150Spir"
CG14579,DmelCG14579
sax,"Bkr43E, Brk43E, CG1891, DmelCG1891, STK-B, Sa"
bsk,"CG5680, D-JNK, D-junk, DBSK/JNK, DJNK, DJNK/bsk, DmelCG5680, JNK, JNK/SAPK, Junk, SAPKa, pJNK"
Prat2,"CG10078, DmPrat2, DmelCG10078"
CG3332,DmelCG3332
CG5734,DmelCG5734
Egfr,"C-erb, CG10079, D-EGFR, D-Egf, DEGFR, DER, DER flb, DER/EGFR, DER/faint little ball, DER/top, DER/torpedo, DER1, DmHD-33, DmelCG10079, EFG-R, EGF-R, EK2-6, Egf, El, Elp, Elp-1, Elp-B1, Elp-B1RB1, Flb, HD-33, TOP, Tor, Torpedo/DER, Torpedo/Egfr, c-erbB, d-egf-r, dEGFR1, l(2)05351, l(2)09261, l(2)57DEFa, l(2)57EFa, l(2)57Ea, mor1, top/DER, top/flb"
veli,"CG7662, D-veli, DLin-7, DLin7, DmelCG7662, Dveli, Flin-7, Lin-7, lin7"
mahj,"BcDNA:SD08722, CG10080, DmelCG10080, VprBP, anon-WO0172774.151"
CG4983,"DmelCG4983, anon-WO0140519.134"
swm,"CG10084, DmelCG10084, E1, S(Rux)2B, l(2)37Dh, l(2)E1"
Pabp2,"CG2163, DmelCG2163, PABPN1, ROX2, dpabII"
CG10086,DmelCG10086
CG10918,DmelCG10918
MED19,"CG5546, DmelCG5546"
CG7180,"DmelCG7180, R-PTPk"
cg,"CG8367, DmelCG8367, l(2)07659, l(2)k11504, mig"
CG10103,DmelCG10103
CG12082,"DmelCG12082, Q9VZU7, USP5"
Traf-like,"CG4394, DmelCG4394, TRAF3, Traf-related, dTRAF3"
Vps4,"BcDNA:GH02678, CG6842, DmBcDNA.GH02678, DmelCG6842, Vps4B, dvps4"
phyl,"CG10108, D(DmcycE[JP])2.2, DmelCG10108, SR2-3, Su(Raf)2C, phy1"
sinah,"CG13030, DmelCG13030, anon-WO0140519.228, sina-h"
